"nombreArtista"
"A Tribe Called Quest"
"ABBA"
"AC/DC"
"Aerosmith"
"Al Green"
"Albert King"
"Alice Cooper"
"Amy Winehouse"
"Arcade Fire"
"Arctic Monkeys"
"Aretha Franklin"
"ARTISTA"
"B.B. King"
"Barry White"
"Beastie Boys"
"Beck"
"Bee Gees"
"Big Brother & the Holding Company"
"Big Star"
"Billy Joel"
"Björk"
"Black Flag"
"Black Sabbath"
"Blondie"
"Blood, Sweat & Tears"
"Bo Diddley"
"Bob Dylan"
"Bob Dylan & The Band"
"Bob Marley & The Wailers"
"Bobby Bland"
"Bonnie Raitt"
"Boz Scaggs"
"Brian Eno"
"Bruce Springsteen"
"Buddy Holly"
"Buffalo Springfield"
"Buzzcocks"
"Captain Beefheart & His Magic Band"
"Carole King"
"Carpenters"
"Cat Stevens"
"Cheap Trick"
"Chuck Berry"
"Coldplay"
"Cream"
"Creedence Clearwater Revival"
"Creedence Clearwater Revival featuring John Fogerty"
"Crosby, Stills & Nash"
"Crosby, Stills, Nash & Young"
"Curtis Mayfield"
"Curtis Mayfield & The Impressions"
"Cyndi Lauper"
"D’Angelo"
"David Bowie"
"De La Soul"
"Def Leppard"
"Depeche Mode"
"Derek and the Dominos"
"DEVO"
"Diana Ross & The Supremes"
"Dire Straits"
"Dolly Parton"
"Don Henley"
"Dr. Dre"
"Dr. John"
"Dr. John, the Night Tripper"
"Dusty Springfield"
"Eagles"
"Earth, Wind & Fire"
"Echo and the Bunnymen"
"Elton John"
"Elvis Costello"
"Elvis Costello & The Attractions"
"Elvis Presley"
"Eminem"
"EPMD"
"Eric B. & Rakim"
"Eric Clapton"
"Etta James"
"Eurythmics"
"Fleetwood Mac"
"Frank Sinatra"
"Fugees (Refugee Camp)"
"Funkadelic"
"Gang of Four"
"George Harrison"
"George Michael"
"Graham Parker & The Rumour"
"Gram Parsons"
"Grateful Dead"
"Green Day"
"Guns N’ Roses"
"Hank Williams"
"Hole"
"Howlin’ Wolf"
"Hüsker Dü"
"Iggy and The Stooges"
"Ike & Tina Turner"
"Jackie Wilson"
"Jackson Browne"
"James Brown"
"James Taylor"
"Jane’s Addiction"
"Janet"
"Janet Jackson"
"Janis Joplin"
"Jay?Z"
"Jeff Buckley"
"Jefferson Airplane"
"Jerry Lee Lewis"
"Jethro Tull"
"John Coltrane"
"John Lee Hooker"
"John Lennon"
"John Lennon/Plastic Ono Band"
"John Mayall & The Bluesbreakers"
"John Prine"
"Johnny Cash"
"Joni Mitchell"
"Joy Division"
"Kanye West"
"KISS"
"Kraftwerk"
"L.L. Cool J"
"LaBelle"
"Lauryn Hill"
"LCD Soundsystem"
"Led Zeppelin"
"Leonard Cohen"
"Lil Wayne"
"Linda Ronstadt"
"Little Richard"
"Little Walter"
"Liz Phair"
"Loretta Lynn"
"Los Lobos"
"Lou Reed"
"Love"
"Lucinda Williams"
"Lynyrd Skynyrd"
"M.I.A."
"Madonna"
"Manu Chao"
"Marvin Gaye"
"Mary J. Blige"
"Massive Attack"
"MC5"
"Meat Loaf"
"Merle Haggard"
"Metallica"
"MGMT"
"Michael Jackson"
"Miles Davis"
"Minutemen"
"Moby"
"Moby Grape"
"Mott the Hoople"
"Muddy Waters"
"My Bloody Valentine"
"My Morning Jacket"
"N.W.A"
"Nas"
"Neil Diamond"
"Neil Young"
"Neil Young & Crazy Horse"
"Neil Young with Crazy Horse"
"New Order"
"New York Dolls"
"Nick Drake"
"Nine Inch Nails"
"Nirvana"
"Oasis"
"Ornette Coleman"
"Otis Redding"
"OutKast"
"Parliament"
"Patsy Cline"
"Patti Smith"
"Paul McCartney & Wings"
"Paul Simon"
"Pavement"
"Pearl Jam"
"Peter Gabriel"
"Peter Wolf"
"Phil Spector"
"Pink Floyd"
"Pixies"
"PJ Harvey"
"Portishead"
"Pretenders"
"Prince"
"Prince and The Revolution"
"Professor Longhair"
"Public Enemy"
"Public Image Ltd."
"Queen"
"Quicksilver Messenger Service"
"R.E.M."
"Radiohead"
"Raekwon"
"Rage Against the Machine"
"Ramones"
"Randy Newman"
"Ray Charles"
"Red Hot Chili Peppers"
"Richard & Linda Thompson"
"Robert Johnson"
"Rod Stewart"
"Roxy Music"
"Run?D.M.C."
"Sam Cooke"
"Santana"
"Sex Pistols"
"Simon & Garfunkel"
"Simon and Garfunkel"
"Sinéad O’Connor"
"Sleater?Kinney"
"Sly & the Family Stone"
"Smashing Pumpkins"
"Smokey Robinson & The Miracles"
"Sonic Youth"
"Soundgarden"
"Stan Getz / João Gilberto featuring Antônio Carlos Jobim"
"Steely Dan"
"Steve Earle"
"Steve Miller Band"
"Stevie Wonder"
"Suicide"
"T. Rex"
"Talking Heads"
"Television"
"The Allman Brothers Band"
"The B?52’s"
"The Band"
"The Beach Boys"
"The Beatles"
"The Byrds"
"The Cars"
"The Clash"
"The Crickets"
"The Cure"
"The Doors"
"The Drifters"
"The Flying Burrito Brothers"
"The Go?Go’s"
"The Grateful Dead"
"The Jesus and Mary Chain"
"The Jimi Hendrix Experience"
"The Kinks"
"The Magnetic Fields"
"The Mama’s and the Papa’s"
"The Meters"
"The Modern Lovers"
"The Mothers of Invention"
"The Notorious B.I.G."
"The O’Jays"
"The Paul Butterfield Blues Band"
"The Pogues"
"The Police"
"The Replacements"
